Company,TypeName,Ram,OpSys,Weight,TouchScreen,IPS,PPI,CPU_name,SSD,HDD,Flash Storage,Gpu_Brand
hp,notebook,4,windows,2.71,0,0,127.33567457123111,amd processer,0,500,0,amd
dell,ultrabook,16,windows,1.2,1,0,276.053530085501,intel core i7,512,0,0,intel
apple,ultrabook,8,mac,1.35,0,0,127.67794013309688,intel core i5,0,0,256,intel
lenovo,notebook,4,windows,1.44,0,0,111.93520355955211,other intel processer,0,0,64,intel
acer,notebook,4,other,2.1,0,0,100.45466986113651,intel core i3,0,1024,0,intel
dell,notebook,8,windows,2.8,0,1,127.33567457123111,intel core i5,128,1024,0,amd
hp,notebook,4,windows,1.86,0,0,100.45466986113651,intel core i5,0,1024,0,intel
hp,notebook,8,windows,2.1,0,0,141.21199808219862,intel core i5,256,0,0,nvidia
asus,notebook,4,other,2.0,0,0,141.21199808219862,intel core i3,0,1024,0,intel
dell,gaming,16,windows,2.65,0,1,141.21199808219862,intel core i7,256,1024,0,nvidia
asus,notebook,8,other,2.3,0,0,100.45466986113651,intel core i5,0,1024,0,nvidia
acer,notebook,4,windows,2.2,0,1,141.21199808219862,intel core i5,256,0,0,intel
dell,2 in 1 convertible,12,windows,2.77,1,0,127.33567457123111,intel core i5,0,1024,0,nvidia
apple,ultrabook,8,mac,1.37,0,1,226.98300468106115,intel core i5,256,0,0,intel
asus,gaming,8,windows,3.2,0,0,127.33567457123111,amd processer,256,1024,0,amd
dell,notebook,4,windows,2.3,0,0,141.21199808219862,intel core i5,256,0,0,amd
asus,notebook,4,windows,2.8,0,0,90.58340172449303,other intel processer,0,1024,0,nvidia
acer,notebook,8,windows,2.2,0,1,141.21199808219862,intel core i7,256,0,0,nvidia
hp,notebook,4,windows,1.86,0,0,141.21199808219862,amd processer,256,0,0,amd
hp,notebook,8,windows,1.49,0,0,165.6321180513006,intel core i7,512,0,0,intel
acer,notebook,4,windows,2.4,0,0,100.45466986113651,intel core i3,0,1024,0,intel
dell,notebook,8,windows,2.13,0,0,141.21199808219862,intel core i7,256,0,0,amd
hp,notebook,4,windows,1.91,0,0,141.21199808219862,intel core i3,128,0,0,intel
asus,notebook,4,windows,2.0,0,0,100.45466986113651,intel core i5,256,0,0,intel
msi,gaming,16,windows,2.43,0,0,127.33567457123111,intel core i7,256,2048,0,nvidia
asus,notebook,4,other,2.0,0,0,141.21199808219862,intel core i3,256,0,0,intel
dell,notebook,16,windows,2.8,0,0,127.33567457123111,intel core i7,256,2048,0,amd
dell,ultrabook,8,windows,1.7,0,0,157.3505121487356,intel core i5,256,0,0,intel
lenovo,notebook,8,other,1.7,0,1,157.3505121487356,intel core i3,256,0,0,intel
asus,notebook,8,windows,1.4,0,0,157.3505121487356,intel core i5,256,0,0,intel
hp,notebook,8,windows,1.86,0,0,141.21199808219862,intel core i5,256,0,0,intel
asus,ultrabook,16,windows,1.8,0,0,141.21199808219862,intel core i7,512,0,0,nvidia
hp,notebook,4,windows,1.86,0,0,100.45466986113651,intel core i3,0,500,0,amd
hp,notebook,4,windows,1.44,0,0,111.93520355955211,other intel processer,32,0,0,intel
lenovo,notebook,4,windows,1.9,0,0,141.21199808219862,intel core i5,0,1024,0,intel
asus,gaming,12,other,3.0,0,0,127.33567457123111,intel core i7,0,1024,0,nvidia
microsoft,ultrabook,4,windows,1.252,1,0,200.84255993695703,intel core i5,128,0,0,intel
dell,ultrabook,64,windows,1.4,0,1,165.6321180513006,intel core i7,256,0,0,amd
dell,notebook,8,windows,2.2,0,0,141.21199808219862,intel core i7,256,0,0,amd
msi,gaming,8,windows,2.7,0,0,127.33567457123111,intel core i5,128,1024,0,nvidia
acer,notebook,8,windows,2.1,0,0,111.93520355955211,intel core i3,0,1024,0,intel
asus,gaming,8,windows,2.2,0,0,141.21199808219862,intel core i7,0,1024,0,nvidia
lenovo,notebook,8,other,2.2,0,0,141.21199808219862,intel core i5,0,2048,0,intel
dell,notebook,8,windows,2.02,0,0,141.21199808219862,intel core i7,128,1024,0,intel
acer,notebook,4,windows,2.2,0,0,141.21199808219862,intel core i3,0,1024,0,nvidia
hp,notebook,8,windows,2.5,0,0,127.33567457123111,intel core i5,128,1024,0,nvidia
dell,ultrabook,8,windows,1.88,0,1,141.21199808219862,intel core i5,256,0,0,intel
apple,ultrabook,8,mac,0.92,0,1,226.41554716935852,intel core i5,512,0,0,intel
hp,notebook,8,windows,1.63,0,0,157.3505121487356,intel core i5,256,0,0,intel
lenovo,notebook,4,windows,2.2,0,0,141.21199808219862,amd processer,128,0,0,amd
acer,notebook,4,windows,2.1,0,0,100.45466986113651,amd processer,0,1024,0,amd
dell,gaming,16,windows,2.65,0,1,141.21199808219862,intel core i7,128,1024,0,nvidia
hp,ultrabook,8,windows,1.83,0,1,141.21199808219862,intel core i7,256,0,0,nvidia
hp,notebook,8,windows,1.96,0,0,141.21199808219862,intel core i5,256,0,0,intel
asus,gaming,16,windows,2.2,0,1,141.21199808219862,intel core i7,128,1024,0,nvidia
dell,ultrabook,8,windows,1.21,0,1,165.6321180513006,intel core i7,256,0,0,intel
asus,gaming,8,windows,2.45,0,0,141.21199808219862,amd processer,0,1024,0,amd
acer,notebook,2,windows,2.2,0,0,141.21199808219862,intel core i7,0,1024,0,nvidia
hp,notebook,16,windows,1.49,0,0,165.6321180513006,intel core i7,512,0,0,intel
dell,gaming,8,windows,2.65,0,0,141.21199808219862,intel core i5,256,0,0,nvidia
asus,ultrabook,8,windows,1.25,0,0,157.3505121487356,intel core i7,256,0,0,intel
acer,2 in 1 convertible,8,windows,1.5,1,1,165.6321180513006,intel core i5,256,0,0,intel
dell,notebook,8,other,2.2,0,0,141.21199808219862,intel core i7,0,1024,0,amd
dell,notebook,4,other,2.2,0,0,141.21199808219862,intel core i3,256,0,0,amd
asus,notebook,6,windows,2.0,0,0,141.21199808219862,intel core i3,256,0,0,nvidia
hp,gaming,12,windows,2.62,0,1,141.21199808219862,intel core i7,128,1024,0,nvidia
hp,notebook,8,windows,1.91,0,0,141.21199808219862,intel core i7,256,0,0,amd
hp,notebook,4,windows,2.1,0,0,141.21199808219862,amd processer,0,500,0,amd
dell,notebook,8,other,2.2,0,0,141.21199808219862,intel core i5,0,1024,0,amd
hp,ultrabook,8,windows,1.38,0,1,165.6321180513006,intel core i7,256,0,0,nvidia
microsoft,ultrabook,8,windows,1.252,1,0,200.84255993695703,intel core i5,256,0,0,intel
hp,notebook,6,windows,1.58,0,1,157.3505121487356,intel core i5,256,0,0,nvidia
lenovo,notebook,4,windows,1.85,0,0,141.21199808219862,intel core i3,0,1024,0,intel
asus,ultrabook,8,windows,1.3,0,1,157.3505121487356,intel core i7,256,0,0,nvidia
msi,gaming,16,windows,2.2,0,0,141.21199808219862,intel core i7,256,1024,0,nvidia
lenovo,notebook,8,windows,1.58,0,1,157.3505121487356,intel core i7,256,0,0,intel
asus,ultrabook,16,windows,1.5,0,0,141.21199808219862,intel core i7,256,1024,0,nvidia
dell,ultrabook,8,windows,1.23,1,0,276.053530085501,intel core i7,256,0,0,intel
lenovo,2 in 1 convertible,8,windows,1.37,1,1,165.6321180513006,intel core i5,256,0,0,intel
hp,notebook,4,windows,1.63,0,1,111.93520355955211,intel core i5,0,500,0,intel
dell,ultrabook,8,windows,1.21,0,1,165.6321180513006,intel core i5,256,0,0,intel
hp,notebook,8,windows,1.63,0,0,157.3505121487356,intel core i7,512,0,0,intel
dell,notebook,8,windows,2.16,0,1,141.21199808219862,intel core i7,256,1024,0,nvidia
asus,notebook,4,windows,2.0,0,0,127.33567457123111,intel core i3,0,1024,0,nvidia
asus,notebook,8,windows,1.7,0,0,141.21199808219862,intel core i7,256,0,0,nvidia
acer,notebook,6,windows,2.1,1,1,141.21199808219862,intel core i3,0,1024,0,intel
msi,gaming,16,windows,1.8,0,0,141.21199808219862,intel core i7,256,2048,0,nvidia
lenovo,notebook,8,other,2.2,0,0,141.21199808219862,intel core i5,256,0,0,nvidia
hp,notebook,16,windows,2.5,0,0,127.33567457123111,intel core i7,512,0,0,nvidia
acer,notebook,4,windows,2.1,0,0,100.45466986113651,amd processer,256,0,0,amd
hp,notebook,8,windows,1.63,0,0,157.3505121487356,intel core i5,0,1024,0,intel
asus,notebook,4,windows,1.65,0,0,111.93520355955211,amd processer,64,0,0,amd
dell,notebook,16,windows,2.8,0,0,127.33567457123111,intel core i7,256,2048,0,amd
hp,notebook,8,windows,2.5,0,0,127.33567457123111,intel core i5,256,0,0,intel
dell,notebook,8,windows,2.36,0,0,100.45466986113651,intel core i5,0,1024,0,amd
dell,notebook,4,windows,2.2,0,0,141.21199808219862,intel core i3,0,1024,0,amd
acer,ultrabook,8,windows,1.6,0,1,157.3505121487356,intel core i7,256,0,0,intel
acer,notebook,4,windows,7.2,0,0,141.21199808219862,intel core i3,256,0,0,nvidia
hp,notebook,8,windows,2.05,0,0,100.45466986113651,intel core i7,0,1024,0,intel
hp,notebook,8,windows,1.63,0,0,157.3505121487356,intel core i7,256,0,0,intel
lenovo,notebook,4,other,1.9,0,0,100.45466986113651,other intel processer,0,1024,0,intel
asus,gaming,8,windows,3.0,0,0,127.33567457123111,intel core i5,128,1024,0,nvidia
lenovo,notebook,4,other,2.2,0,0,141.21199808219862,intel core i5,0,1024,0,nvidia
hp,notebook,4,windows,1.32,0,1,165.6321180513006,intel core i5,256,0,0,intel
acer,notebook,4,windows,3.0,0,1,127.33567457123111,intel core i3,0,1024,0,nvidia
lenovo,notebook,8,windows,1.75,0,1,157.3505121487356,intel core i5,256,0,0,amd
lenovo,gaming,8,other,2.4,0,1,141.21199808219862,intel core i7,256,0,0,nvidia
toshiba,notebook,4,windows,2.1,0,0,100.45466986113651,intel core i5,0,500,0,intel
hp,notebook,4,windows,1.86,0,0,100.45466986113651,amd processer,256,0,0,amd
asus,ultrabook,8,windows,1.25,0,0,157.3505121487356,intel core i7,256,0,0,intel
hp,ultrabook,8,windows,0.97,1,1,352.4651472131677,other intel processer,512,0,0,intel
asus,notebook,4,windows,2.0,0,0,141.21199808219862,other intel processer,0,1024,0,intel
acer,notebook,4,windows,2.1,0,0,100.45466986113651,intel core i3,0,1024,0,intel
dell,gaming,16,windows,2.56,0,0,141.21199808219862,intel core i7,512,0,0,nvidia
dell,gaming,8,windows,2.62,0,0,141.21199808219862,intel core i7,0,0,0,nvidia
lenovo,notebook,4,windows,1.9,0,0,100.45466986113651,intel core i5,128,0,0,intel
msi,gaming,16,windows,2.8,0,0,127.33567457123111,intel core i7,256,1024,0,nvidia
hp,ultrabook,4,windows,1.48,0,0,157.3505121487356,intel core i5,256,0,0,intel
hp,notebook,6,windows,1.91,0,0,141.21199808219862,intel core i5,256,0,0,amd
lenovo,2 in 1 convertible,4,windows,1.74,1,1,157.3505121487356,intel core i3,256,0,0,intel
asus,2 in 1 convertible,8,windows,1.1,1,0,165.6321180513006,intel core i5,256,0,0,intel
dell,2 in 1 convertible,8,windows,1.56,1,0,141.21199808219862,intel core i7,256,0,0,intel
toshiba,notebook,4,windows,2.1,0,0,100.45466986113651,intel core i3,0,500,0,intel
asus,notebook,4,windows,2.03,0,0,100.45466986113651,amd processer,0,1024,0,amd
acer,notebook,4,windows,3.0,0,1,127.33567457123111,intel core i5,256,0,0,nvidia
dell,notebook,8,windows,2.13,0,0,141.21199808219862,intel core i5,256,0,0,amd
lenovo,gaming,16,windows,2.5,0,1,141.21199808219862,intel core i7,256,0,0,nvidia
acer,notebook,4,windows,2.1,0,0,100.45466986113651,other intel processer,0,1024,0,intel
msi,gaming,16,windows,2.4,0,1,141.21199808219862,intel core i7,256,1024,0,nvidia
acer,notebook,4,windows,2.1,0,0,100.45466986113651,other intel processer,0,1024,0,intel
dell,gaming,8,windows,2.56,0,0,141.21199808219862,intel core i7,128,1024,0,nvidia
acer,notebook,8,windows,3.0,0,1,127.33567457123111,intel core i5,256,0,0,nvidia
hp,notebook,4,windows,1.49,0,1,165.6321180513006,intel core i5,0,500,0,intel
huawei,ultrabook,8,windows,1.05,0,1,199.69207064108247,intel core i5,256,0,0,intel
hp,notebook,6,windows,2.71,0,1,127.33567457123111,intel core i5,0,2048,0,amd
lenovo,notebook,4,other,2.2,0,0,100.45466986113651,amd processer,0,500,0,amd
toshiba,notebook,4,windows,5.4,0,0,100.45466986113651,intel core i3,0,500,0,intel
hp,notebook,8,windows,2.5,0,0,127.33567457123111,intel core i5,256,0,0,nvidia
dell,notebook,8,windows,2.3,0,0,100.45466986113651,intel core i3,0,1024,0,intel
acer,notebook,4,windows,2.1,0,0,100.45466986113651,intel core i3,128,0,0,intel
msi,gaming,32,windows,4.4,0,0,119.7232157653423,intel core i7,512,1024,0,nvidia
lenovo,notebook,8,windows,1.9,0,0,141.21199808219862,intel core i5,128,1024,0,amd
hp,2 in 1 convertible,8,windows,1.29,1,1,331.2642361026012,intel core i5,256,0,0,intel
dell,notebook,16,other,2.02,0,0,141.21199808219862,intel core i7,256,2048,0,amd
dell,ultrabook,8,windows,1.23,0,0,165.6321180513006,intel core i5,256,0,0,intel
lenovo,2 in 1 convertible,16,windows,1.4,1,1,316.96506044349616,intel core i7,512,0,0,intel
toshiba,notebook,8,windows,2.0,0,0,100.45466986113651,intel core i5,128,0,0,intel
xiaomi,notebook,8,other,1.95,0,1,141.21199808219862,intel core i5,256,0,0,nvidia
dell,notebook,16,windows,2.77,1,0,127.33567457123111,intel core i7,512,0,0,nvidia
dell,notebook,16,windows,2.06,1,0,282.42399616439724,intel core i7,512,0,0,nvidia
lenovo,gaming,8,other,2.4,0,1,141.21199808219862,intel core i5,256,0,0,nvidia
acer,ultrabook,8,windows,1.12,0,1,165.6321180513006,intel core i5,256,0,0,intel
dell,notebook,8,windows,2.8,0,0,127.33567457123111,intel core i7,128,1024,0,amd
vero,notebook,4,windows,1.3,0,1,157.3505121487356,other intel processer,0,0,32,intel
xiaomi,ultrabook,8,other,1.3,0,1,165.6321180513006,intel core i5,256,0,0,nvidia
lenovo,notebook,8,other,2.8,0,0,106.11306214269258,intel core i5,256,0,0,nvidia
dell,2 in 1 convertible,8,windows,1.62,1,1,165.6321180513006,intel core i7,0,1024,0,intel
hp,notebook,8,windows,2.5,0,1,127.33567457123111,intel core i5,0,1024,0,nvidia
razer,gaming,32,windows,3.49,1,0,254.67134914246222,intel core i7,1024,0,0,nvidia
hp,notebook,8,windows,1.49,0,0,165.6321180513006,intel core i5,512,0,0,intel
hp,gaming,16,windows,3.35,0,1,127.33567457123111,intel core i7,256,1024,0,nvidia
hp,notebook,8,windows,2.5,0,0,127.33567457123111,intel core i7,256,0,0,nvidia
dell,gaming,16,windows,2.65,0,1,282.42399616439724,intel core i7,512,1024,0,nvidia
lenovo,notebook,4,windows,2.1,0,0,100.45466986113651,intel core i5,128,0,0,intel
acer,notebook,8,windows,2.23,0,0,141.21199808219862,intel core i7,0,1024,0,nvidia
lenovo,gaming,16,windows,3.2,0,1,141.21199808219862,intel core i7,512,1024,0,nvidia
dell,workstation,16,windows,2.8,0,0,282.42399616439724,other intel processer,256,1024,0,nvidia
lenovo,gaming,16,other,2.4,0,0,141.21199808219862,intel core i7,512,0,0,nvidia
dell,notebook,6,windows,2.3,1,0,100.45466986113651,intel core i3,0,1024,0,intel
dell,ultrabook,8,windows,1.21,1,1,331.2642361026012,intel core i7,256,0,0,intel
acer,notebook,8,other,2.4,0,0,141.21199808219862,intel core i7,0,1024,0,nvidia
asus,gaming,16,windows,2.9,0,0,127.33567457123111,intel core i7,256,1024,0,nvidia
hp,notebook,4,other,2.1,0,0,141.21199808219862,intel core i3,0,500,0,intel
lenovo,notebook,8,other,2.2,0,0,141.21199808219862,intel core i5,256,0,0,intel
huawei,ultrabook,8,windows,1.05,0,1,199.69207064108247,intel core i7,512,0,0,intel
dell,ultrabook,8,windows,1.4,0,1,165.6321180513006,intel core i7,256,0,0,amd
lenovo,notebook,8,other,2.8,0,0,106.11306214269258,intel core i5,0,1024,0,nvidia
hp,notebook,8,windows,1.63,0,0,157.3505121487356,intel core i7,256,0,0,nvidia
dell,ultrabook,8,windows,1.6,0,0,157.3505121487356,intel core i5,256,0,0,intel
dell,2 in 1 convertible,16,windows,1.62,1,0,165.6321180513006,intel core i7,512,0,0,intel
dell,notebook,8,other,2.2,0,0,141.21199808219862,intel core i5,256,0,0,amd
lenovo,2 in 1 convertible,8,windows,1.74,0,1,157.3505121487356,intel core i5,256,0,0,intel
toshiba,ultrabook,8,windows,1.2,0,0,165.6321180513006,intel core i7,256,0,0,intel
hp,notebook,8,windows,2.1,0,0,141.21199808219862,intel core i5,0,1024,0,intel
dell,gaming,16,windows,4.42,0,1,127.33567457123111,intel core i7,256,1024,0,nvidia
acer,notebook,8,windows,2.2,0,0,141.21199808219862,intel core i7,256,0,0,nvidia
dell,notebook,16,windows,2.3,1,0,141.21199808219862,intel core i7,0,1024,0,amd
asus,notebook,8,windows,2.0,0,0,141.21199808219862,intel core i5,256,0,0,nvidia
asus,notebook,8,windows,2.69,0,0,127.33567457123111,intel core i5,256,500,0,nvidia
hp,notebook,8,windows,1.9,0,0,141.21199808219862,intel core i7,0,1024,0,amd
asus,notebook,4,windows,2.37,0,0,100.45466986113651,intel core i3,0,1024,0,intel
hp,notebook,4,windows,2.1,0,0,100.45466986113651,amd processer,0,500,0,amd
lenovo,gaming,16,windows,3.2,0,1,141.21199808219862,intel core i7,256,1024,0,nvidia
dell,notebook,8,windows,1.6,0,0,157.3505121487356,intel core i5,256,0,0,intel
acer,2 in 1 convertible,8,windows,1.6,1,1,165.6321180513006,intel core i5,256,0,0,intel
dell,notebook,16,other,2.36,0,0,141.21199808219862,intel core i7,256,0,0,amd
acer,notebook,4,other,2.1,0,0,100.45466986113651,intel core i3,0,1024,0,intel
asus,notebook,4,windows,2.2,0,0,141.21199808219862,amd processer,128,1024,0,amd
asus,gaming,32,windows,4.7,0,0,127.33567457123111,intel core i7,512,1024,0,nvidia
acer,gaming,8,windows,2.5,0,1,141.21199808219862,intel core i5,256,0,0,nvidia
lenovo,notebook,8,windows,7.2,0,0,100.45466986113651,intel core i3,128,0,0,intel
asus,notebook,8,windows,2.1,0,0,127.33567457123111,intel core i7,128,1024,0,nvidia
asus,notebook,8,other,2.69,0,0,127.33567457123111,intel core i7,128,1024,0,nvidia
dell,gaming,8,windows,2.56,0,0,141.21199808219862,intel core i5,256,0,0,nvidia
lenovo,2 in 1 convertible,8,windows,1.38,1,1,158.48253022174808,intel core i7,256,0,0,intel
dell,notebook,8,windows,2.2,0,0,141.21199808219862,intel core i7,128,2048,0,amd
hp,notebook,8,windows,2.04,1,0,100.45466986113651,intel core i5,0,1024,0,intel
asus,gaming,16,windows,3.6,0,0,127.33567457123111,intel core i7,256,0,0,nvidia
hp,notebook,4,windows,1.49,0,1,165.6321180513006,intel core i5,0,500,0,intel
apple,ultrabook,8,mac,1.37,0,1,226.98300468106115,intel core i5,512,0,0,intel
dell,2 in 1 convertible,8,windows,2.08,1,1,141.21199808219862,intel core i7,0,1024,0,intel
asus,gaming,16,windows,4.3,0,0,127.33567457123111,intel core i7,256,1024,0,nvidia
asus,notebook,4,windows,1.68,0,0,100.45466986113651,amd processer,0,1024,0,amd
lenovo,2 in 1 convertible,8,windows,1.37,1,1,158.48253022174808,intel core i7,512,0,0,intel
acer,notebook,4,windows,3.0,0,1,127.33567457123111,intel core i3,256,0,0,nvidia
dell,ultrabook,8,windows,1.41,0,0,165.6321180513006,intel core i5,256,0,0,intel
hp,notebook,8,windows,1.91,0,0,100.45466986113651,amd processer,128,0,0,amd
hp,notebook,16,windows,2.9,0,1,127.33567457123111,intel core i7,0,1024,0,nvidia
msi,gaming,16,windows,4.14,0,0,127.33567457123111,intel core i7,512,1024,0,nvidia
lenovo,2 in 1 convertible,8,windows,2.0,1,1,141.21199808219862,intel core i7,512,0,0,nvidia
dell,notebook,8,windows,2.8,0,0,127.33567457123111,intel core i7,128,1024,0,amd
lenovo,notebook,4,other,2.2,0,0,141.21199808219862,intel core i3,256,0,0,intel
hp,notebook,4,windows,2.1,0,1,141.21199808219862,intel core i5,0,500,0,intel
dell,notebook,4,windows,2.18,0,0,141.21199808219862,intel core i5,0,1024,0,intel
dell,notebook,8,windows,2.24,0,0,141.21199808219862,intel core i5,0,1024,0,amd
dell,2 in 1 convertible,8,windows,2.67,1,0,141.21199808219862,intel core i5,256,0,0,intel
asus,2 in 1 convertible,8,windows,4.1,1,0,165.6321180513006,intel core i7,1024,0,0,intel
hp,notebook,8,windows,2.5,0,0,127.33567457123111,intel core i7,0,1024,0,nvidia
lenovo,notebook,8,windows,2.05,0,0,141.21199808219862,intel core i7,256,0,0,intel
apple,ultrabook,8,mac,1.37,0,1,226.98300468106115,intel core i5,512,0,0,intel
asus,gaming,16,windows,3.2,0,0,127.33567457123111,amd processer,256,1024,0,amd
dell,notebook,8,other,2.14,0,0,141.21199808219862,intel core i7,256,0,0,amd
lenovo,2 in 1 convertible,16,windows,1.36,1,0,209.8006828649808,intel core i7,512,0,0,intel
toshiba,notebook,8,windows,2.2,0,0,100.45466986113651,intel core i7,0,500,0,nvidia
dell,notebook,12,windows,2.3,0,0,100.45466986113651,intel core i7,0,1024,0,intel
dell,notebook,8,other,2.8,0,0,127.33567457123111,intel core i7,128,1024,0,amd
acer,notebook,8,windows,2.2,0,1,141.21199808219862,intel core i7,0,1024,0,nvidia
lenovo,notebook,4,windows,2.8,0,0,106.11306214269258,intel core i3,0,1024,0,intel
lenovo,notebook,8,other,2.8,0,0,127.33567457123111,intel core i7,0,2048,0,nvidia
lenovo,notebook,6,windows,2.8,0,0,106.11306214269258,intel core i7,128,1024,0,nvidia
dell,notebook,4,other,2.25,0,0,141.21199808219862,intel core i3,0,1024,0,amd
lenovo,gaming,8,windows,2.5,0,1,141.21199808219862,intel core i5,256,0,0,nvidia
lenovo,notebook,6,windows,2.2,0,0,141.21199808219862,intel core i5,256,0,0,intel
acer,notebook,8,windows,3.0,0,1,141.21199808219862,intel core i7,256,0,0,nvidia
acer,notebook,12,windows,2.15,1,1,141.21199808219862,intel core i7,0,1024,0,intel
lenovo,notebook,8,windows,1.95,0,1,141.21199808219862,intel core i7,256,0,0,intel
asus,ultrabook,8,windows,1.7,0,0,141.21199808219862,intel core i5,256,0,0,nvidia
lenovo,gaming,16,windows,2.5,0,1,141.21199808219862,intel core i7,256,1024,0,nvidia
lenovo,notebook,8,other,2.2,0,0,141.21199808219862,intel core i7,0,1024,0,nvidia
acer,notebook,2,other,2.19,0,0,100.45466986113651,other intel processer,16,0,0,intel
asus,gaming,8,windows,3.0,0,0,127.33567457123111,intel core i7,0,1024,0,nvidia
hp,notebook,8,windows,2.54,0,0,106.11306214269258,intel core i3,0,1024,0,intel
dell,notebook,8,windows,2.0,0,0,141.21199808219862,intel core i7,256,0,0,nvidia
lenovo,notebook,8,windows,2.05,0,0,141.21199808219862,intel core i5,256,0,0,intel
lenovo,gaming,8,windows,3.2,0,1,141.21199808219862,intel core i7,0,1024,0,nvidia
acer,notebook,8,other,2.5,0,0,141.21199808219862,intel core i7,256,0,0,nvidia
dell,workstation,16,windows,3.42,0,0,127.33567457123111,intel core i7,256,0,0,nvidia
lenovo,notebook,6,windows,2.4,0,0,141.21199808219862,amd processer,0,1024,0,amd
asus,ultrabook,16,windows,1.63,0,0,141.21199808219862,intel core i7,512,0,0,nvidia
asus,notebook,4,windows,1.3,0,0,111.93520355955211,intel core i3,128,0,0,intel
asus,gaming,16,windows,2.9,0,0,127.33567457123111,intel core i7,256,1024,0,nvidia
lenovo,notebook,6,windows,5.8,0,0,106.11306214269258,intel core i5,0,1024,0,nvidia
lenovo,notebook,8,other,2.2,0,0,100.45466986113651,intel core i5,0,2048,0,nvidia
asus,gaming,8,windows,2.5,0,0,141.21199808219862,intel core i7,128,1024,0,nvidia
lenovo,notebook,4,other,2.2,0,0,100.45466986113651,other intel processer,0,1024,0,intel
hp,2 in 1 convertible,16,windows,1.28,1,0,165.6321180513006,intel core i7,256,0,0,intel
toshiba,notebook,8,windows,2.2,0,1,141.21199808219862,intel core i7,256,0,0,nvidia
lenovo,notebook,8,windows,2.3,0,0,141.21199808219862,intel core i5,128,1024,0,nvidia
hp,notebook,4,windows,1.86,0,0,141.21199808219862,intel core i3,0,1024,0,intel
lenovo,notebook,8,windows,1.1,0,1,165.6321180513006,intel core i5,256,0,0,intel
dell,ultrabook,16,windows,1.21,1,1,331.2642361026012,intel core i7,1024,0,0,intel
msi,gaming,16,windows,2.8,0,1,141.21199808219862,intel core i7,256,1024,0,nvidia
acer,notebook,8,windows,2.23,0,0,141.21199808219862,amd processer,256,0,0,amd
asus,2 in 1 convertible,2,windows,1.1,1,0,135.0942111925629,other intel processer,0,0,32,intel
dell,notebook,8,windows,2.33,0,0,141.21199808219862,intel core i5,128,1024,0,amd
hp,2 in 1 convertible,16,windows,1.29,1,1,331.2642361026012,intel core i7,1024,0,0,intel
